t,phase,act1,act0,cmd1,cmd0,ferr1,ferr0,engaged,trip0,trip1,run_ok,state1,state0
0.014,preflight,-24,-168,-24,-168,0,0,FALSE,FALSE,FALSE,FALSE,2,2
0.018,enable,-24,-168,-24,-168,0,0,FALSE,FALSE,FALSE,FALSE,2,2
0.319,enable,-40,-48,-40,-152,0,-104,FALSE,FALSE,FALSE,TRUE,4,4
0.520,enable,-36,-112,-40,-152,-4,-40,FALSE,FALSE,FALSE,TRUE,4,4
0.721,enable,-40,-132,-40,-152,0,-20,FALSE,FALSE,FALSE,TRUE,4,4
0.922,enable,-32,-140,-40,-152,-8,-12,FALSE,FALSE,FALSE,TRUE,4,4
1.123,enable,-32,-144,-40,-152,-8,-8,FALSE,FALSE,FALSE,TRUE,4,4
1.324,enable,-32,-144,-40,-152,-8,-8,FALSE,FALSE,FALSE,TRUE,4,4
1.525,enable,-24,-156,-40,-152,-16,4,FALSE,FALSE,FALSE,TRUE,4,4
1.726,enable,-40,-160,-40,-152,0,8,FALSE,FALSE,FALSE,TRUE,4,4
1.927,enable,-24,-148,-40,-152,-16,-4,FALSE,FALSE,FALSE,TRUE,4,4
2.129,enable,-32,-140,-40,-152,-8,-12,FALSE,FALSE,FALSE,TRUE,4,4
2.330,enable,-28,-148,-40,-152,-12,-4,FALSE,FALSE,FALSE,TRUE,4,4
2.531,enable,-28,-156,-40,-152,-12,4,FALSE,FALSE,FALSE,TRUE,4,4
2.732,enable,-36,-156,-40,-152,-4,4,FALSE,FALSE,FALSE,TRUE,4,4
2.934,enable,-28,-156,-40,-152,-12,4,FALSE,FALSE,FALSE,TRUE,4,4
3.135,enable,-32,-152,-40,-152,-8,0,FALSE,FALSE,FALSE,TRUE,4,4
3.335,enable,-36,-164,-40,-152,-4,12,FALSE,FALSE,FALSE,TRUE,4,4
3.336,enable,-36,-164,-40,-152,-4,12,FALSE,FALSE,FALSE,TRUE,4,4
3.550,engage-still,-32,-152,-40,-145,-8,6,TRUE,FALSE,FALSE,TRUE,4,4
3.751,engage-still,-28,-152,-40,-140,-12,12,TRUE,FALSE,FALSE,TRUE,4,4
3.952,engage-still,-36,-144,-40,-148,-4,-4,TRUE,FALSE,FALSE,TRUE,4,4
4.153,engage-still,-24,-144,-40,-136,-16,8,TRUE,FALSE,FALSE,TRUE,4,4
4.354,engage-still,-32,-136,-40,-144,-8,-8,TRUE,FALSE,FALSE,TRUE,4,4
4.555,engage-still,-32,-140,-40,-144,-8,-4,TRUE,FALSE,FALSE,TRUE,4,4
4.756,engage-still,-32,-148,-40,-144,-8,4,TRUE,FALSE,FALSE,TRUE,4,4
4.957,engage-still,-40,-140,-40,-152,0,-12,TRUE,FALSE,FALSE,TRUE,4,4
5.158,engage-still,-36,-152,-40,-148,-4,4,TRUE,FALSE,FALSE,TRUE,4,4
5.360,engage-still,-36,-136,-40,-148,-4,-12,TRUE,FALSE,FALSE,TRUE,4,4
5.360,engage-still,-36,-136,-40,-148,-4,-12,TRUE,FALSE,FALSE,TRUE,4,4
5.563,gear-1to1-fwd,80,-128,91160,-32,91080,96,TRUE,FALSE,FALSE,TRUE,4,4
5.764,gear-1to1-fwd,1868,276,212360,1756,210492,1480,TRUE,FALSE,FALSE,TRUE,4,4
5.965,gear-1to1-fwd,371838,317366,332360,371726,-39478,54360,TRUE,FALSE,FALSE,TRUE,4,4
6.166,gear-1to1-fwd,429535,428278,453560,429423,24025,1145,TRUE,FALSE,FALSE,TRUE,4,4
6.366,gear-1to1-fwd,520129,495454,574760,520017,54631,24563,TRUE,FALSE,FALSE,TRUE,4,4
6.568,gear-1to1-fwd,659726,647932,695960,659614,36234,11682,TRUE,FALSE,FALSE,TRUE,4,4
6.769,gear-1to1-fwd,803052,779909,817160,802940,14108,23031,TRUE,FALSE,FALSE,TRUE,4,4
6.970,gear-1to1-fwd,923078,912755,938360,922966,15282,10211,TRUE,FALSE,FALSE,TRUE,4,4
7.171,gear-1to1-fwd,1045552,1031064,1059560,1045440,14008,14376,TRUE,FALSE,FALSE,TRUE,4,4
7.371,gear-1to1-fwd,1144811,1131485,1179560,1144699,34749,13214,TRUE,FALSE,FALSE,TRUE,4,4
7.572,gear-1to1-fwd,1260042,1247868,1300760,1259930,40718,12062,TRUE,FALSE,FALSE,TRUE,4,4
7.774,gear-1to1-fwd,1396241,1380631,1421960,1396129,25719,15498,TRUE,FALSE,FALSE,TRUE,4,4
7.975,gear-1to1-fwd,1511227,1491952,1543160,1511115,31933,19163,TRUE,FALSE,FALSE,TRUE,4,4
8.176,gear-1to1-fwd,1676492,1662899,1664360,1676380,-12132,13481,TRUE,FALSE,FALSE,TRUE,4,4
8.377,gear-1to1-fwd,1752819,1739555,1785560,1752707,32741,13152,TRUE,FALSE,FALSE,TRUE,4,4
8.578,gear-1to1-fwd,1885869,1872827,1905560,1885757,19691,12930,TRUE,FALSE,FALSE,TRUE,4,4
8.779,gear-1to1-fwd,1992642,1978907,2025560,1992530,32918,13623,TRUE,FALSE,FALSE,TRUE,4,4
