t,ts_us,scan_rate,rpm_master,rpm_follower,rpm_output,pos0,pos1,rev1,ferr1_cnt,ferr1_deg,engaged,ratio,sync_err_cnt,sync_err_deg,demo_auto,demo_speed,jog1,trip1,g_trip_fb,fault0,fault1,state0,state1,lockout,run_ok,ao1,ai1,valve_cmd_v,valve_fb_v,coupler_ok,servo_ok
0.22,29215145,,,,,48,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
0.42,29417027,500.3,0.0,-0.0,-0.0,44,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
0.62,29619328,499.3,0.0,0.0,0.0,52,-20,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
0.82,29821491,499.6,-0.0,-0.0,-0.0,48,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
1.03,30024935,501.4,-0.0,-0.0,-0.0,44,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
1.23,30226852,500.2,0.0,0.0,0.0,48,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
1.43,30429579,498.2,0.0,-0.0,-0.0,-56,-36,0.0,-20,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
1.63,30632979,501.5,-0.0,-0.0,-0.0,-76,-48,0.0,-8,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
1.83,30834863,500.3,-0.0,0.0,0.0,-64,-52,0.0,-4,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
2.03,31036901,499.9,0.0,-0.0,-0.0,-72,-44,0.0,-12,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
2.23,31138896,500.0,0.0,0.0,0.0,-60,-40,0.0,-16,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
2.43,31342878,500.0,-0.0,-0.0,-0.0,-64,-48,0.0,-8,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
2.64,31544679,500.5,-0.0,0.0,0.0,-56,-56,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
2.84,31747026,499.1,0.0,0.0,0.0,-56,-40,0.0,-16,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
3.04,31949135,499.7,-0.0,0.0,0.0,-52,-52,0.0,-4,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
3.24,32151156,499.9,0.0,0.0,0.0,-52,-44,0.0,-12,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
3.44,32354910,500.6,-0.0,-0.0,-0.0,-64,-48,0.0,-8,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
3.64,32556799,500.3,0.0,0.0,0.0,-52,-44,0.0,-12,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
3.84,32759153,499.1,0.0,0.0,0.0,-48,-44,0.0,-12,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
4.04,32961257,499.7,0.0,0.0,0.0,-44,-40,0.0,-16,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
4.25,33165025,500.6,-0.0,-0.0,-0.0,-52,-56,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
4.45,33366825,500.5,0.0,0.0,0.0,-44,-48,0.0,-8,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
4.65,33569044,499.5,0.0,0.0,0.0,-44,-48,0.0,-8,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
4.85,33771207,499.6,0.0,0.0,0.0,-44,-44,0.0,-12,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
5.05,33975075,500.3,-0.0,0.0,0.0,-40,-48,0.0,-8,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
5.25,34178905,500.4,0.0,0.0,0.0,-36,-48,0.0,-8,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
5.45,34380852,500.1,-0.0,0.0,0.0,-32,-52,0.0,-4,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
5.66,34583175,499.2,0.0,-0.0,-0.0,-36,-44,0.0,-12,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
5.86,34785409,499.4,-0.0,0.0,0.0,-36,-48,0.0,-8,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
6.06,34987299,500.3,-0.0,-0.0,-0.0,-44,-52,0.0,-4,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
6.26,35189089,500.5,0.0,0.0,0.0,-28,-48,0.0,-8,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
6.46,35390826,500.7,0.0,-0.0,-0.0,-32,-48,0.0,-8,-0.0,0,,,,0,0,0,0,0,0,0,4,4,0,1,0,0,0.0,0.0,0,1
6.66,35592972,499.6,0.0,0.0,0.0,-16,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
6.86,35794671,500.7,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
7.06,35996997,499.2,-0.0,-0.0,-0.0,-20,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
7.26,36199283,499.3,0.0,0.0,0.0,-16,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
7.47,36400730,501.4,0.0,0.0,0.0,-16,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
7.67,36603006,499.3,-0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
7.87,36804925,500.2,0.0,0.0,0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
8.07,37006938,500.0,-0.0,0.0,0.0,-4,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
8.27,37208823,500.3,-0.0,-0.0,-0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
8.47,37413029,499.5,0.0,-0.0,-0.0,-20,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
8.67,37614829,500.5,-0.0,0.0,0.0,-20,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
8.88,37817251,499.0,0.0,0.0,0.0,-20,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
9.08,38020799,501.1,-0.0,0.0,0.0,-4,-44,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
9.28,38221083,499.3,0.0,-0.0,-0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
9.48,38424911,500.4,0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
9.68,38627165,499.4,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
9.88,38828779,501.0,0.0,0.0,0.0,-8,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
10.08,39029492,498.2,-0.0,0.0,0.0,-8,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
10.28,39231059,501.1,0.0,-0.0,-0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
10.49,39433271,499.5,-0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
10.69,39634882,501.0,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
10.89,39837455,498.6,0.0,-0.0,-0.0,-20,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
11.09,40039212,500.6,0.0,0.0,0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
11.29,40241319,499.7,-0.0,-0.0,-0.0,-16,-44,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
11.49,40443110,500.5,0.0,0.0,0.0,-4,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
11.69,40644832,500.7,0.0,0.0,0.0,-4,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
11.89,40845501,498.3,0.0,-0.0,-0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
12.1,41047320,500.4,0.0,0.0,0.0,-4,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
12.3,41249080,500.6,-0.0,-0.0,-0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
12.5,41451578,498.8,-0.0,-0.0,-0.0,-16,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
12.7,41655093,501.2,0.0,0.0,0.0,-16,-20,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
12.9,41857349,499.4,-0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
13.1,42059445,499.8,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
13.3,42261272,500.4,0.0,-0.0,-0.0,-16,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
13.5,42465171,500.2,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
