t,ts_us,scan_rate,rpm_master,rpm_follower,rpm_output,pos0,pos1,rev1,ferr1_cnt,ferr1_deg,engaged,ratio,sync_err_cnt,sync_err_deg,demo_auto,demo_speed,jog1,trip1,g_trip_fb,fault0,fault1,state0,state1,lockout,run_ok,ao1,ai1,valve_cmd_v,valve_fb_v,coupler_ok,servo_ok
0.22,758427510,,,,,-916760136,40427412,6.3406,367014,15.75,1,,,,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
0.42,758628455,403.1,80.88,243.06,24.31,-909931491,42699693,6.6303,524733,22.52,1,,,,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
0.62,758837367,397.3,89.9,266.91,26.69,-902135596,45325524,6.9271,388902,16.69,1,,,,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
0.82,759040001,414.5,88.44,269.0,26.9,-894514710,47830936,7.2275,403490,17.32,1,,,,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
1.02,759241486,402.0,81.69,248.74,24.87,-887507676,50132100,7.5172,532326,22.84,1,,,,1,30000,0,0,0,0,0,4,4,0,1,0,146,0.0,0.046,1,1
1.22,759448409,401.1,88.79,262.36,26.24,-879917750,52700906,7.814,453520,19.46,1,,,,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
1.43,759652296,407.1,87.71,265.52,26.55,-872349117,55201237,8.1109,443189,19.02,1,,,,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
1.63,759856045,392.6,84.34,252.68,25.27,-865151095,57603896,8.397,440530,18.91,1,,,,1,30000,0,0,0,0,0,4,4,0,1,0,146,0.0,0.046,1,1
1.83,760057169,417.7,84.86,249.8,24.98,-858127000,59990132,8.6974,574294,24.65,1,,,,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
2.03,760259149,386.2,89.33,270.94,27.09,-850475938,62512778,8.9763,391648,16.81,1,,,,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
2.23,760461876,379.8,82.28,247.79,24.78,-843452763,64844782,9.2517,369644,15.86,1,3.0,0,0.0,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
2.43,760665140,378.8,76.24,231.93,23.19,-836861561,67011353,9.5271,513073,22.02,1,3.0,91489,3.93,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
2.63,760876040,398.3,80.49,244.48,24.45,-829652692,69384563,9.7794,256663,11.01,1,3.0,180728,7.76,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
2.83,761081458,404.1,34.03,121.43,12.14,-826165385,70361935,9.8685,26291,1.13,1,3.0,735919,31.58,1,30000,0,0,0,0,0,4,4,0,1,0,166,0.0,0.052,1,1
3.03,761283755,400.4,0.84,6.65,0.66,-825977435,70385580,9.797,-596754,-25.61,1,3.0,852934,36.6,1,30000,0,0,0,0,0,4,4,0,1,0,166,0.0,0.052,1,1
3.23,761485592,396.4,-70.84,-181.82,-18.18,-831108091,68386420,9.5736,-471994,-20.26,1,3.0,1719758,73.8,1,30000,0,0,0,0,0,4,4,0,1,0,146,0.0,0.046,1,1
3.44,761687794,415.4,-90.18,-269.79,-26.98,-838734965,65837026,9.2732,-442600,-18.99,1,3.0,1741066,74.72,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
3.64,761890790,394.1,-81.57,-250.69,-25.07,-845849781,63522023,8.9871,-527597,-22.64,1,3.0,1571259,67.43,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
3.84,762093604,379.7,-84.16,-244.58,-24.46,-852785092,61135588,8.7117,-451162,-19.36,1,3.0,1795253,77.04,1,30000,0,0,0,0,0,4,4,0,1,0,146,0.0,0.046,1,1
4.04,762296327,394.6,-87.62,-262.25,-26.23,-860217987,58652057,8.4256,-367631,-15.78,1,3.0,1812951,77.8,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
4.24,762502327,402.9,-86.33,-262.66,-26.27,-867782779,56165589,8.1288,-371163,-15.93,1,3.0,1707563,73.28,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
4.44,762710331,399.0,-82.27,-245.26,-24.53,-874915144,53773144,7.8319,-468718,-20.12,1,3.0,1752533,75.21,1,30000,0,0,0,0,0,4,4,0,1,0,146,0.0,0.046,1,1
4.64,762915241,395.3,-85.82,-257.78,-25.78,-882300053,51314591,7.5423,-440165,-18.89,1,3.0,1743283,74.81,1,30000,0,0,0,0,0,4,4,0,1,0,146,0.0,0.046,1,1
4.84,763126362,393.1,-88.04,-264.74,-26.47,-890114308,48715784,7.2454,-331358,-14.22,1,3.0,1725449,74.05,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
5.04,763329404,398.9,-77.49,-235.16,-23.52,-896789908,46516154,6.9557,-561728,-24.11,1,3.0,1648739,70.76,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
5.25,763533037,378.1,-85.1,-254.85,-25.49,-904045572,44093319,6.6804,-448893,-19.26,1,3.0,1661580,71.31,1,30000,0,0,0,0,0,4,4,0,1,0,166,0.0,0.052,1,1
5.45,763738636,379.4,-85.06,-252.34,-25.23,-911299150,41648356,6.4014,-343930,-14.76,1,3.0,1742891,74.8,1,30000,0,0,0,0,0,4,4,0,1,0,166,0.0,0.052,1,1
5.65,763946919,379.3,-77.2,-235.92,-23.59,-918169021,39400279,6.1189,-465853,-19.99,1,3.0,1617251,69.4,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
5.85,764053271,366.7,-75.33,-224.9,-22.49,-921513049,38280220,5.9794,-515794,-22.14,1,3.0,1633400,70.1,1,30000,0,0,0,0,0,4,4,0,1,0,156,0.0,0.049,1,1
6.05,764261275,379.8,-85.34,-253.25,-25.32,-928877689,35798417,5.6969,-403991,-17.34,1,3.0,1714169,73.56,1,30000,0,0,0,0,0,4,4,0,1,0,146,0.0,0.046,1,1
