ts_us,scan_count,devices_healthy
22367405,11177,1
22571186,11279,1
22773244,11380,1
22975568,11481,1
23177146,11582,1
23379478,11683,1
23581498,11784,1
23783120,11885,1
23985961,11986,1
24187661,12087,1
24391350,12189,1
24595023,12291,1
24897448,12442,1
25099586,12543,1
25301762,12644,1
25505030,12746,1
25707136,12847,1
25909506,12948,1
26111838,13049,1
26313792,13150,1
26515687,13251,1
26717772,13352,1
26919854,13453,1
27121567,13554,1
27325292,13656,1
27527327,13757,1
27729940,13858,1
27933721,13960,1
28137803,14062,1
28443102,14215,1
28645401,14316,1
28847670,14417,1
29051244,14519,1
29253499,14620,1
29455183,14721,1
29657491,14822,1
29859670,14923,1
30063085,15025,1
30265787,15126,1
30467530,15227,1
30669096,15328,1
30869875,15428,1
31073992,15530,1
31277562,15632,1
31479406,15733,1
31782004,15884,1
31985380,15986,1
32187426,16087,1
32391288,16189,1
32593193,16290,1
32795889,16391,1
32997924,16492,1
33201580,16594,1
33403997,16695,1
33607821,16797,1
33811483,16898,1
34013692,16999,1
34215844,17100,1
34419164,17202,1
34621308,17303,1
34823571,17404,1
35125584,17555,1
35327268,17656,1
35529353,17757,1
35733207,17859,1
35935652,17960,1
36139557,18062,1
36343028,18164,1
36545237,18265,1
36749380,18367,1
36949786,18467,1
37151566,18568,1
37353745,18669,1
37557524,18771,1
37759151,18872,1
37961853,18973,1
38165404,19075,1
38365685,19175,1
38669602,19327,1
38873222,19429,1
39075680,19530,1
39277833,19631,1
39479831,19732,1
39683022,19834,1
39885396,19935,1
40087459,20036,1
40289572,20137,1
40491703,20238,1
40693707,20339,1
40897179,20441,1
41099397,20542,1
41301991,20642,1
41503374,20743,1
41705455,20844,1
42009633,20996,1
42213572,21098,1
42415538,21199,1
42619108,21301,1
42821296,21402,1
43023372,21503,1
43225697,21604,1
43427827,21705,1
43631570,21807,1
43833487,21908,1
44035491,22009,1
44237209,22110,1
44439535,22211,1
44641549,22312,1
44843888,22413,1
45047279,22515,1
45249668,22616,1
45553901,22768,1
45757292,22870,1
45959391,22971,1
46161250,23072,1
46363422,23173,1
46565599,23274,1
46767939,23375,1
46969828,23476,1
47171512,23577,1
47373133,23678,1
47575632,23779,1
47779029,23881,1
47981100,23982,1
48183371,24083,1
48385506,24184,1
48587731,24285,1
48891517,24437,1
49095106,24539,1
49297322,24640,1
49499373,24741,1
49701666,24842,1
49903844,24943,1
50105778,25044,1
50309132,25146,1
50511193,25247,1
50713873,25348,1
50917088,25450,1
51117699,25550,1
51321267,25652,1
51525031,25754,1
51727200,25855,1
51929447,25956,1
52233803,26108,1
52437141,26210,1
52639772,26311,1
52841218,26412,1
53043300,26513,1
53245892,26614,1
53447544,26715,1
53651108,26817,1
53853042,26918,1
54055683,27019,1
54259869,27121,1
54461512,27222,1
54663623,27323,1
54867519,27425,1
55069818,27526,1
55273053,27628,1
55575833,27779,1
55777423,27880,1
55979876,27981,1
56183031,28083,1
56385349,28184,1
56587292,28285,1
56791237,28387,1
56991800,28487,1
57193771,28588,1
57395515,28689,1
57597237,28790,1
57799670,28891,1
58003035,28993,1
58205599,29094,1
58409164,29196,1
58609912,29296,1
58811932,29397,1
59117368,29550,1
59319437,29651,1
59521521,29752,1
59723335,29853,1
59925889,29954,1
60129828,30056,1
60333569,30158,1
60535354,30259,1
60737178,30360,1
60939292,30461,1
61141886,30562,1
61343904,30663,1
61547028,30765,1
61749742,30866,1
61953265,30968,1
62155296,31069,1
62457582,31220,1
62659557,31321,1
62863175,31423,1
63067481,31525,1
63269025,31626,1
63469885,31726,1
63671505,31827,1
63873284,31928,1
64075225,32029,1
64277087,32130,1
64479091,32231,1
64681094,32332,1
64881818,32432,1
65085074,32534,1
65287151,32635,1
65489030,32736,1
65791921,32887,1
65993662,32988,1
66195768,33089,1
66397970,33190,1
66599539,33291,1
66803321,33393,1
67005292,33494,1
67209028,33596,1
67409686,33696,1
67611641,33797,1
67813854,33898,1
68015925,33999,1
68219109,34101,1
68421768,34202,1
68625626,34304,1
68827890,34405,1
69133581,34558,1
69337338,34660,1
69539097,34761,1
69739899,34861,1
69943523,34963,1
70145366,35064,1
70347514,35165,1
70549626,35266,1
70751755,35367,1
70955100,35469,1
71157255,35570,1
71359323,35671,1
71561660,35772,1
71763384,35873,1
71965367,35974,1
72167505,36075,1
72471227,36227,1
72673406,36328,1
72875678,36429,1
73077928,36530,1
73281086,36632,1
73483688,36733,1
73687621,36835,1
73889561,36936,1
74091419,37037,1
74293358,37138,1
74495423,37239,1
74697421,37340,1
74899423,37441,1
75101160,37542,1
75303161,37643,1
75605105,37794,1
75805836,37894,1
76007870,37995,1
76209448,38096,1
76413404,38198,1
76615662,38299,1
76817804,38400,1
77021627,38502,1
77223884,38603,1
77427176,38705,1
77629188,38806,1
77831613,38907,1
78033473,39008,1
78235411,39109,1
78437225,39210,1
78641311,39312,1
78843292,39413,1
79147310,39565,1
79351277,39667,1
79553298,39768,1
79755434,39869,1
79957259,39970,1
80159661,40071,1
80361844,40172,1
80565234,40274,1
80767625,40375,1
80971377,40477,1
81173578,40578,1
81377096,40680,1
81579219,40781,1
81783654,40883,1
81985661,40984,1
82189201,41086,1
82391176,41187,1
82593663,41288,1
82899527,41441,1
83101627,41542,1
83305420,41644,1
83507229,41745,1
83709193,41846,1
83911459,41947,1
84113029,42048,1
84313799,42148,1
84517160,42250,1
84719161,42351,1
84921223,42452,1
85123221,42553,1
85325225,42654,1
85527102,42755,1
85729095,42856,1
85931373,42957,1
86235227,43109,1
86437027,43210,1
86639112,43311,1
86839956,43411,1
87043267,43513,1
87245534,43614,1
87447809,43715,1
87651163,43817,1
87853635,43918,1
88055803,44019,1
88257844,44120,1
88459737,44221,1
88661803,44322,1
88865219,44424,1
89067163,44525,1
89369799,44676,1
89571693,44777,1
89773900,44878,1
89977031,44980,1
90179030,45081,1
90381183,45182,1
90583436,45283,1
