t_unix,ts_us,scan_count,watchdog_tripped,devices_healthy
1788834414,63869893,31928,0,1
1788834415,64877512,32432,0,1
1788834416,65887085,32937,0,1
1788834417,66899125,33443,0,1
1788834418,67907588,33947,0,1
1788834419,68915424,34451,0,1
1788834420,69925575,34956,0,1
1788834421,70933646,35460,0,1
1788834422,71941515,35964,0,1
1788834423,72957528,36472,0,1
1788834424,73969561,36978,0,1
1788834425,74975576,37481,0,1
1788834426,75985476,37986,0,1
1788834427,76995747,38491,0,1
1788834428,78105880,39046,0,1
1788834429,79113819,39550,0,1
1788834430,80123702,40055,0,1
1788834431,81133434,40560,0,1
1788834432,82143624,41065,0,1
1788834433,83159324,41573,0,1
1788834434,84168013,42077,0,1
1788834435,85181173,42584,0,1
1788834436,86189079,43088,0,1
1788834437,87199233,43593,0,1
1788834439,88213208,44100,0,1
1788834440,89221263,44604,0,1
1788834441,90235776,45111,0,1
1788834442,91249481,45618,0,1
1788834443,92259262,46123,0,1
1788834444,93267623,46627,0,1
1788834445,94279353,47133,0,1
1788834446,95291718,47639,0,1
1788834447,96299967,48143,0,1
1788834448,97307656,48647,0,1
1788834449,98315835,49151,0,1
1788834450,99325515,49656,0,1
1788834451,100335513,50161,0,1
1788834452,101349615,50668,0,1
1788834453,102361350,51174,0,1
1788834454,103373120,51680,0,1
1788834455,104381585,52184,0,1
1788834456,105393194,52690,0,1
1788834457,106399714,53193,0,1
1788834458,107407896,53697,0,1
1788834459,108421570,54204,0,1
1788834460,109427949,54707,0,1
1788834461,110439759,55213,0,1
1788834462,111453345,55720,0,1
1788834463,112461759,56224,0,1
1788834464,113475150,56731,0,1
1788834465,114483640,57235,0,1
1788834466,115493394,57740,0,1
1788834467,116501500,58244,0,1
1788834468,117513356,58750,0,1
1788834469,118527161,59257,0,1
1788834470,119537771,59762,0,1
1788834471,120551379,60269,0,1
1788834472,121565256,60776,0,1
1788834473,122575457,61281,0,1
1788834474,123583143,61785,0,1
1788834475,124595257,62291,0,1
1788834476,125603641,62795,0,1
1788834477,126613128,63300,0,1
1788834478,127625107,63806,0,1
1788834479,128639503,64313,0,1
1788834480,129649933,64818,0,1
1788834481,130659513,65323,0,1
1788834482,131669042,65828,0,1
1788834483,132677620,66332,0,1
1788834484,133687144,66837,0,1
1788834485,134701363,67344,0,1
1788834486,135715252,67851,0,1
1788834487,136729644,68358,0,1
1788834488,137737761,68862,0,1
1788834489,138747455,69367,0,1
