dir,cmd_V,fb_raw,fb_V
up,0.00,161,0.050
up,0.50,1591,0.497
up,1.00,3095,0.967
up,1.50,4628,1.446
up,2.00,6259,1.956
up,2.50,7890,2.466
up,3.00,9472,2.960
up,3.50,11056,3.455
up,4.00,12597,3.937
up,4.50,14101,4.407
up,5.00,15947,4.983
up,5.50,17490,5.466
up,6.00,19028,5.946
up,6.50,20703,6.470
up,7.00,22197,6.937
up,7.50,23740,7.419
up,8.00,25410,7.941
up,8.50,27041,8.450
up,9.00,28496,8.905
up,9.50,30302,9.469
up,10.00,31796,9.936
dn,10.00,31796,9.936
dn,9.50,30302,9.469
dn,9.00,28759,8.987
dn,8.50,27265,8.520
dn,8.00,25498,7.968
dn,7.50,24003,7.501
dn,7.00,22421,7.007
dn,6.50,20654,6.454
dn,6.00,19121,5.975
dn,5.50,17529,5.478
dn,5.00,15947,4.983
dn,4.50,14365,4.489
dn,4.00,12685,3.964
dn,3.50,11015,3.442
dn,3.00,9472,2.960
dn,2.50,7851,2.453
dn,2.00,6396,1.999
dn,1.50,4677,1.462
dn,1.00,3183,0.995
dn,0.50,1594,0.498
dn,0.00,148,0.046
