t_s,cmd_V,fb_raw,fb_V
0.104,0.00,146,0.046
0.169,0.00,146,0.046
0.233,0.00,146,0.046
0.296,0.00,146,0.046
0.360,0.00,146,0.046
0.425,0.00,146,0.046
0.489,0.00,146,0.046
0.552,0.00,156,0.049
0.616,0.00,166,0.052
0.680,0.00,146,0.046
0.744,0.00,136,0.043
0.808,0.00,146,0.046
0.872,0.00,166,0.052
0.936,0.00,156,0.049
1.001,0.00,146,0.046
1.064,0.00,146,0.046
1.128,0.00,146,0.046
1.192,0.00,146,0.046
1.256,0.00,156,0.049
1.320,0.00,146,0.046
1.384,0.00,146,0.046
1.448,0.00,146,0.046
1.512,0.00,146,0.046
1.576,0.00,166,0.052
1.640,0.00,146,0.046
1.704,0.00,136,0.043
1.768,0.00,146,0.046
1.832,0.00,166,0.052
1.896,0.00,156,0.049
1.960,0.00,156,0.049
2.024,0.00,136,0.043
2.088,0.00,146,0.046
2.152,0.00,146,0.046
2.216,0.00,156,0.049
2.280,0.00,146,0.046
2.344,0.00,146,0.046
2.408,0.00,146,0.046
2.472,0.00,146,0.046
2.536,0.00,166,0.052
2.600,0.00,146,0.046
2.664,0.00,136,0.043
2.728,0.00,146,0.046
2.792,0.00,166,0.052
2.856,0.00,156,0.049
2.920,0.00,156,0.049
2.984,0.00,136,0.043
3.048,0.00,146,0.046
3.144,10.00,136,0.043
3.208,10.00,156,0.049
3.272,10.00,175,0.055
3.336,10.00,175,0.055
3.400,10.00,166,0.052
3.464,10.00,234,0.073
3.528,10.00,390,0.122
3.592,10.00,576,0.180
3.656,10.00,722,0.226
3.720,10.00,927,0.290
3.784,10.00,1113,0.348
3.848,10.00,1464,0.458
3.912,10.00,1650,0.516
3.976,10.00,1796,0.561
4.039,10.00,2138,0.668
4.104,10.00,2255,0.705
4.167,10.00,2421,0.757
4.231,10.00,2675,0.836
4.295,10.00,2871,0.897
4.359,10.00,3066,0.958
4.423,10.00,3242,1.013
4.487,10.00,3437,1.074
4.551,10.00,3671,1.147
4.615,10.00,3935,1.230
4.680,10.00,4169,1.303
4.743,10.00,4306,1.346
4.807,10.00,4599,1.437
4.871,10.00,4755,1.486
4.935,10.00,5009,1.565
4.999,10.00,5205,1.627
5.063,10.00,5458,1.706
5.127,10.00,5703,1.782
5.191,10.00,5898,1.843
5.255,10.00,6074,1.898
5.319,10.00,6279,1.962
5.383,10.00,6396,1.999
5.447,10.00,6669,2.084
5.511,10.00,6923,2.163
5.575,10.00,7109,2.222
5.639,10.00,7285,2.277
5.703,10.00,7529,2.353
